Transaction_ID,Date,Raw_Description,Category,Amount,Card,Source_Type,Currency,Is_Fraud,Is_Recurring
TXN01864,2019-01-01 00:52:57,Hackett-lueilwitz,Grocery,59.56,Trade Republic,investment_account,USD,False,True
TXN01730,2019-01-01 01:34:25,Hudson-ratke,Grocery,83.81,Visa Classic,credit_card,USD,False,True
TXN01719,2019-01-01 02:56:15,Wolf Inc,Grocery,140.33,Visa Classic,credit_card,USD,False,True
TXN01805,2019-01-01 07:17:54,Bailey-morar,Grocery,60.65,Trade Republic,investment_account,USD,False,True
TXN02595,2019-01-01 13:15:16,Mcdermott,Home,125.02,Visa Classic,credit_card,USD,False,True
TXN03504,2019-01-01 13:46:20,Thiel Plc,Misc,3.61,Mastercard Gold,credit_card,USD,False,True
TXN02235,2019-01-01 15:00:28,Koss,Home,75.33,Mastercard Gold,credit_card,USD,False,True
TXN02805,2019-01-01 16:52:19,Roberts,Kids Pets,55.07,Trade Republic,investment_account,USD,False,True
TXN02528,2019-01-01 18:27:09,Quitzon-goyette,Home,61.05,Mastercard Gold,credit_card,USD,False,True
TXN02496,2019-01-01 19:07:34,Champlin And Sons,Home,48.4,Visa Classic,credit_card,USD,False,True
TXN01495,2019-01-02 05:16:43,Pacocha-o'reilly,Grocery,201.88,Visa Classic,credit_card,USD,False,True
TXN03774,2019-01-02 13:37:39,Shanahan-lehner,Personal Care,3.19,Trade Republic,investment_account,USD,False,True
TXN00594,2019-01-02 15:28:34,Koss,Food Dining,14.14,Trade Republic,investment_account,USD,False,True
TXN02513,2019-01-02 15:46:34,Lynch-wisozk,Home,81.56,Trade Republic,investment_account,USD,False,True
TXN03796,2019-01-02 18:57:54,Zulauf Llc,Personal Care,94.18,Trade Republic,investment_account,USD,False,True
TXN01341,2019-01-03 06:22:26,Roob Llc,Grocery,117.95,Revolut,digital_wallet,USD,False,False
TXN02086,2019-01-03 20:39:30,Heller Plc,Health Fitness,45.99,Trade Republic,investment_account,USD,False,True
TXN03772,2019-01-03 20:45:54,Becker,Personal Care,80.33,Revolut,digital_wallet,USD,False,True
TXN00274,2019-01-04 06:38:01,Stark-batz,Entertainment,150.12,PayPal,digital_wallet,USD,False,True
TXN00800,2019-01-04 08:08:50,Harber Inc,Gas Transport,74.79,Visa Classic,credit_card,USD,False,True
TXN03044,2019-01-04 17:58:53,Windler Llc,Kids Pets,83.46,Trade Republic,investment_account,USD,False,True
TXN04691,2019-01-04 18:12:43,Lynch Ltd,Shopping,5.67,Trade Republic,investment_account,USD,False,True
TXN02918,2019-01-04 21:01:13,Hauck,Kids Pets,54.98,Mastercard Gold,credit_card,USD,False,True
TXN01093,2019-01-05 05:34:24,Friesen-stamm,Gas Transport,103.99,Revolut,digital_wallet,USD,False,True
TXN01717,2019-01-05 06:03:11,Mcdermott-weimann,Grocery,98.29,PayPal,digital_wallet,USD,False,True
TXN00109,2019-01-05 07:02:01,Parker,Entertainment,45.28,Trade Republic,investment_account,USD,False,True
TXN01228,2019-01-05 08:55:15,Tromp,Grocery,51.36,PayPal,digital_wallet,USD,False,True
TXN01266,2019-01-06 00:46:20,Smitham-schiller,Grocery,36.23,Mastercard Gold,credit_card,USD,False,True
TXN04209,2019-01-06 02:27:41,Kuhic,Shopping,56.79,PayPal,digital_wallet,USD,False,True
TXN01568,2019-01-06 03:18:51,Stracke-lemke,Grocery,75.36,Trade Republic,investment_account,USD,False,True
TXN04807,2019-01-06 06:32:40,Bins,Shopping,52.55,Revolut,digital_wallet,USD,False,True
TXN00641,2019-01-06 07:40:18,Kihn-schuster,Food Dining,51.04,Revolut,digital_wallet,USD,False,True
TXN03014,2019-01-06 13:39:04,Brown Inc,Kids Pets,51.7,Visa Classic,credit_card,USD,False,True
